word	nodeType	synsetCount	unit	count
-	ADJ	0	psyExcerptCopy	2
abnormal	ADJ	3	psyExcerptCopy	4
absolute	ADJ	6	psyExcerptCopy	2
absurd	ADJ	3	psyExcerptCopy	2
acute	ADJ	7	psyExcerptCopy	4
additional	ADJ	1	psyExcerptCopy	2
advanced	ADJ	20	psyExcerptCopy	2
affectionate	ADJ	1	psyExcerptCopy	2
alcoholic	ADJ	3	psyExcerptCopy	2
american	ADJ	5	psyExcerptCopy	2
anatomical	ADJ	3	psyExcerptCopy	1
anti	ADJ	2	psyExcerptCopy	2
averse	ADJ	1	psyExcerptCopy	2
blank	ADJ	8	psyExcerptCopy	2
cal	ADJ	0	psyExcerptCopy	2
capable	ADJ	5	psyExcerptCopy	2
cathartic	ADJ	4	psyExcerptCopy	2
central	ADJ	3	psyExcerptCopy	6
cerebral	ADJ	2	psyExcerptCopy	10
certain	ADJ	7	psyExcerptCopy	2
characteristic	ADJ	5	psyExcerptCopy	2
child-	ADJ	0	psyExcerptCopy	2
christ	ADJ	2	psyExcerptCopy	2
civil	ADJ	6	psyExcerptCopy	2
classical	ADJ	6	psyExcerptCopy	1
close	ADJ	37	psyExcerptCopy	4
cold	ADJ	16	psyExcerptCopy	2
common	ADJ	10	psyExcerptCopy	1
communistic	ADJ	1	psyExcerptCopy	2
complete	ADJ	10	psyExcerptCopy	2
condi-	ADJ	0	psyExcerptCopy	2
constitutional	ADJ	5	psyExcerptCopy	2
continual	ADJ	2	psyExcerptCopy	2
correct	ADJ	12	psyExcerptCopy	2
corresponding	ADJ	7	psyExcerptCopy	2
cortical	ADJ	1	psyExcerptCopy	2
defective	ADJ	3	psyExcerptCopy	2
defiant	ADJ	1	psyExcerptCopy	2
degenerative	ADJ	1	psyExcerptCopy	1
dependent	ADJ	7	psyExcerptCopy	3
destitute	ADJ	2	psyExcerptCopy	2
determinate	ADJ	3	psyExcerptCopy	2
distressing	ADJ	4	psyExcerptCopy	2
dogmatic	ADJ	3	psyExcerptCopy	2
eccentric	ADJ	4	psyExcerptCopy	2
elementary	ADJ	3	psyExcerptCopy	2
emotional	ADJ	4	psyExcerptCopy	6
