word	nodeType	unit
unquestionable	ADJ	psyExcerptCopy
sexual	ADJ	psyExcerptCopy
dependent	ADJ	psyExcerptCopy
cerebral	ADJ	psyExcerptCopy
generative	ADJ	psyExcerptCopy
menstrua-	ADJ	psyExcerptCopy
sexual	ADJ	psyExcerptCopy
sexless	ADJ	psyExcerptCopy
degenerative	ADJ	psyExcerptCopy
other	ADJ	psyExcerptCopy
functional	ADJ	psyExcerptCopy
cerebral	ADJ	psyExcerptCopy
psychical	ADJ	psyExcerptCopy
anatomical	ADJ	psyExcerptCopy
classical	ADJ	psyExcerptCopy
persecutory	ADJ	psyExcerptCopy
insane	ADJ	psyExcerptCopy
insane	ADJ	psyExcerptCopy
puerperal	ADJ	psyExcerptCopy
abnormal	ADJ	psyExcerptCopy
thirteenth	ADJ	psyExcerptCopy
insane	ADJ	psyExcerptCopy
limited	ADJ	psyExcerptCopy
normal	ADJ	psyExcerptCopy
sexual	ADJ	psyExcerptCopy
common	ADJ	psyExcerptCopy
spastic	ADJ	psyExcerptCopy
spinal	ADJ	psyExcerptCopy
healthy	ADJ	psyExcerptCopy
microcephalic	ADJ	psyExcerptCopy
imbecile	ADJ	psyExcerptCopy
sociable	ADJ	psyExcerptCopy
sexual	ADJ	psyExcerptCopy
frequent	ADJ	psyExcerptCopy
full	ADJ	psyExcerptCopy
sexual	ADJ	psyExcerptCopy
infrequent	ADJ	psyExcerptCopy
general	ADJ	psyExcerptCopy
erotic	ADJ	psyExcerptCopy
pleasurable	ADJ	psyExcerptCopy
sexual	ADJ	psyExcerptCopy
same	ADJ	psyExcerptCopy
sexual	ADJ	psyExcerptCopy
probable	ADJ	psyExcerptCopy
similar	ADJ	psyExcerptCopy
young	ADJ	psyExcerptCopy
normal	ADJ	psyExcerptCopy
abnormal	ADJ	psyExcerptCopy
sexual	ADJ	psyExcerptCopy
wide	ADJ	psyExcerptCopy
strong	ADJ	psyExcerptCopy
healthy	ADJ	psyExcerptCopy
normal	ADJ	psyExcerptCopy
fective	ADJ	psyExcerptCopy
sexual	ADJ	psyExcerptCopy
obscene	ADJ	psyExcerptCopy
such	ADJ	psyExcerptCopy
exhausted	ADJ	psyExcerptCopy
tran-	ADJ	psyExcerptCopy
seventeenth	ADJ	psyExcerptCopy
important	ADJ	psyExcerptCopy
incapable	ADJ	psyExcerptCopy
sexual	ADJ	psyExcerptCopy
unmarried	ADJ	psyExcerptCopy
american	ADJ	psyExcerptCopy
civil	ADJ	psyExcerptCopy
normal	ADJ	psyExcerptCopy
thermic	ADJ	psyExcerptCopy
alcoholic	ADJ	psyExcerptCopy
such	ADJ	psyExcerptCopy
cerebral	ADJ	psyExcerptCopy
healthy	ADJ	psyExcerptCopy
erotic	ADJ	psyExcerptCopy
sexual	ADJ	psyExcerptCopy
averse	ADJ	psyExcerptCopy
such	ADJ	psyExcerptCopy
pure	ADJ	psyExcerptCopy
other	ADJ	psyExcerptCopy
mental	ADJ	psyExcerptCopy
blank	ADJ	psyExcerptCopy
elementary	ADJ	psyExcerptCopy
sexual	ADJ	psyExcerptCopy
least	ADJ	psyExcerptCopy
transitional	ADJ	psyExcerptCopy
ingenious	ADJ	psyExcerptCopy
correct	ADJ	psyExcerptCopy
dogmatic	ADJ	psyExcerptCopy
such	ADJ	psyExcerptCopy
sexual	ADJ	psyExcerptCopy
limited	ADJ	psyExcerptCopy
such	ADJ	psyExcerptCopy
mental	ADJ	psyExcerptCopy
weak	ADJ	psyExcerptCopy
transitional	ADJ	psyExcerptCopy
psychical	ADJ	psyExcerptCopy
many	ADJ	psyExcerptCopy
vicious	ADJ	psyExcerptCopy
interesting	ADJ	psyExcerptCopy
sexual	ADJ	psyExcerptCopy
ethical	ADJ	psyExcerptCopy
worthy	ADJ	psyExcerptCopy
nervous	ADJ	psyExcerptCopy
